name,salary_from,salary_to,salary_currency,area_name,published_at
Программист 1С УПП,160000,,RUR,Новосибирск,2022-12-21T06:05:00+0300
Монтажник РЭАиП (4-6 разряд),35000,,RUR,Уфа,2022-12-21T06:56:25+0300
Системный администратор,50000,50000,RUR,Красноярск,2022-12-21T06:23:50+0300
Технический директор,60000,,RUR,Новокузнецк,2022-12-21T07:01:46+0300
Ведущий программист 1С,120000,200000,RUR,Новосибирск,2022-12-21T06:36:29+0300
Специалист внедрения и сопровождения 1С ERP,100000,,RUR,Челябинск,2022-12-21T07:22:38+0300
Механик/Специалист по БДД,45200,,RUR,Красноярск,2022-12-21T07:24:24+0300
Системный администратор (сервисный/сетевой инженер на техническое обслуживание),25000,25000,RUR,Челябинск,2022-12-21T06:10:18+0300
Системный администратор/техник-программист/сервисный инженер,170000,200000,KZT,Усть-Каменогорск,2022-12-21T06:43:59+0300
Наладчик станков с ЧПУ,,100000,RUR,Челябинск,2022-12-21T06:12:44+0300
Оператор-программист станка с ЧПУ,55000,100000,RUR,Рязань,2022-12-21T07:53:27+0300
Директор центра,64000,110000,RUR,Яковлевка,2022-12-21T06:40:27+0300
Ведущий аналитик,,120000,RUR,Екатеринбург,2022-12-21T06:43:25+0300
Инженер-схемотехник/программист ПЛИС,,200000,RUR,Санкт-Петербург,2022-12-21T06:36:20+0300
Инженер по ремонту цифровой и оргтехники,40000,60000,RUR,Благовещенск (Амурская область),2022-12-21T06:53:20+0300
Токарь 5-6 разряд,100000,110000,RUR,Каменск-Уральский,2022-12-21T06:05:24+0300
Инженер технической поддержки,40000,80000,RUR,Красноярск,2022-12-21T07:35:18+0300
Инженер,30000,43000,RUR,Иркутск,2022-12-21T07:32:37+0300
Наладчик технологического оборудования,45000,45000,RUR,Димитровград,2022-12-21T07:10:17+0300
Инженер сервисного центра,45000,60000,RUR,Находка,2022-12-21T06:59:49+0300
Специалист технической поддержки,30000,,RUR,Новосибирск,2022-12-21T06:10:10+0300
Ведущий специалист по сопровождению 1С,47250,,RUR,Екатеринбург,2022-12-21T07:03:10+0300
Координатор-аналитик (отдел продаж),35000,35000,RUR,Хабаровск,2022-12-21T07:33:33+0300
Техник по включениям,250000,,KZT,Жезказган,2022-12-21T06:18:51+0300
Фрезеровщик ЧПУ,60000,60000,RUR,Красноярск,2022-12-21T07:48:06+0300
Электромеханик по ремонту оборудования,40000,40000,RUR,Челябинск,2022-12-21T06:28:02+0300
Программист 1С,100000,,RUR,Омск,2022-12-21T07:51:31+0300
Начинающий специалист по замене оборудования (возможен неполный день),20000,50000,RUR,Санкт-Петербург,2022-12-21T06:42:01+0300
Инженер по ремонту крупной бытовой техники,55000,95000,RUR,Владивосток,2022-12-21T06:56:51+0300
Senior Android Developer,4000,,EUR,Кипр,2022-12-21T07:00:15+0300
Системный администратор (объединенные коммуникации Microsoft),80000,120000,RUR,Новосибирск,2022-12-21T06:40:07+0300
Программист 1С,120000,,RUR,Тюмень,2022-12-21T07:44:08+0300
Фрезеровщик (Механосборочный цех),,92000,RUR,Новосибирск,2022-12-21T06:49:41+0300
PHP Программист,70000,100000,RUR,Екатеринбург,2022-12-21T06:43:29+0300
Техник по сервису,220000,,KZT,Усть-Каменогорск,2022-12-21T06:18:30+0300
Токарь-расточник,70000,,RUR,Нижний Новгород,2022-12-21T07:59:25+0300
Инженер-наладчик АСУ ТП,60000,60000,RUR,Казань,2022-12-21T07:32:05+0300
Наладчик автоматических линий,45000,,RUR,Набережные Челны,2022-12-21T07:57:47+0300
Линейный механик,50000,,RUR,Апатиты,2022-12-21T06:44:25+0300
Токарь,70000,,RUR,Каменск-Уральский,2022-12-21T06:05:43+0300
Главный механик,60000,,RUR,Барнаул,2022-12-21T07:18:19+0300
Руководитель интернет-проектов / Project Manager,,50000,RUR,Хабаровск,2022-12-21T07:00:15+0300
Project manager,400000,,KZT,Алматы,2022-12-21T06:58:35+0300
Механик по ремонту дизельных двигателей,230000,,KZT,Алматы,2022-12-21T07:00:40+0300
Сервис-инженер,22000,30000,RUR,Кемерово,2022-12-21T06:42:29+0300
Программист 1С в офис,120000,,RUR,Красноярск,2022-12-21T07:32:23+0300
Руководитель транспортного отдела,80000,,RUR,Красноярск,2022-12-21T07:32:23+0300
Программист 1С,30000,40000,RUR,Чита,2022-12-21T07:49:00+0300
Оператор станка с ЧПУ,38000,65000,RUR,Пермь,2022-12-21T07:38:56+0300
Инженер-программист,70000,80000,RUR,Уфа,2022-12-21T07:10:16+0300
Системный администратор 1С,40000,95000,RUR,Красноярск,2022-12-21T07:56:43+0300
Токарь,55000,90000,RUR,Нижний Новгород,2022-12-21T07:43:39+0300
Программист 1C,150000,,RUR,Екатеринбург,2022-12-21T06:59:34+0300
Team Lead Bitrix24 (удаленно),250000,,RUR,Москва,2022-12-21T06:52:39+0300
Менеджер проектов,,50000,RUR,Хабаровск,2022-12-21T07:00:15+0300
Токарь-расточник,80000,,RUR,Каменск-Уральский,2022-12-21T06:05:36+0300
Токарь 6 разряда,37000,39000,RUR,Салават,2022-12-21T07:19:29+0300
Программист 1С,60000,,RUR,Нижний Новгород,2022-12-21T07:32:25+0300
Руководитель проектов,65000,70000,RUR,Новосибирск,2022-12-21T07:10:22+0300
Программист 1С (middle),100000,,RUR,Тюмень,2022-12-21T07:24:54+0300
Разработчик 1С,,200000,RUR,Москва,2022-12-21T06:45:00+0300
Специалист по линейным сооружениям,28490,,RUR,Ульяновск,2022-12-21T06:04:50+0300
Токарь-карусельщик,80000,,RUR,Каменск-Уральский,2022-12-21T06:05:30+0300
Консультант по управлению торговлей в 1С,30000,,RUR,Красноярск,2022-12-21T07:56:43+0300
Специалист по сопровождению 1С: Управление Торговлей,40000,60000,RUR,Кемерово,2022-12-21T06:42:29+0300
Инженер (г. Иркутск),30000,43000,RUR,Иркутск,2022-12-21T07:32:36+0300
Старший механик на портовый танкер,100000,100000,RUR,Владивосток,2022-12-21T06:38:54+0300
Техник по сервису,220000,,KZT,Жезказган,2022-12-21T06:18:48+0300
Руководитель отдела маркетинга,250000,,KZT,Караганда,2022-12-21T07:41:59+0300
Автослесарь / сервисный инженер / на тракторную технику,40000,,RUR,Ярославль,2022-12-21T07:09:59+0300
Ведущий специалист отдела методологии (Бизнес-аналитик),54000,,RUR,Тюмень,2022-12-21T07:22:12+0300
Программист 1С (middle/senior),120000,200000,RUR,Челябинск,2022-12-21T06:56:14+0300
